impressive, pos
standard, non
natural, non
important, pos
next, non
evolutionary, pos
stateoftheart, false
large, both
SVDbased,false
arbitrary, neg
considerable, neg
possible, non
such, false
Other, false
strong, both
thelexical, non
future, non
implicit, non
huge, both
worth, both
present, non
pretrained, non
unimportant, neg
unproblematic, pos
word2vec, false
actuallydoesnt, false
unitlength, false
uniform, non
small, both
important.the, false
readable, pos
supervised, non
Direct, non
related, non
similar, non
smoothing, pos
useful, pos
persistent, pos
clear, pos
wikipedia, false
undirected, non
different, pos
much, both
learned, non
difficult, both
particular, non
other, false
unsupervised, non
hard, both
monotonic, neg
new, pos
experiment, false
morphological, non
mixed, non
effective, pos
context, false
sensitive, pos
Russian, non
German, non
Spanish.General, false
novel, pos
neural, non
Bayesian, non
previous, non
art, false
soft, non
probabilistic, non
comprehensive, pos
only, non
suitable, pos
convincing, pos
practical, pos
computational, non
several, non
overall, non
individual, non
ovel, false
straightforward, pos
bad, neg
unclear, neg
Table, false
pair.Another, false
clear.The, false
weakly, neg
good, pos
wellwritten, neg
few, both
empirical, pos
solid.Weaknesses, false
additional, both
superior, pos
abstract, false
spurious, neg
relevant, pos
atural, false
partial, neg
single, non
main, non
limited, neg
General, non
properly., false
simple, both
basic, non
substantial, pos
interesting, pos
potential, both
linking, non
unimpressed, neg
actual, non
intriguing, pos
many, both
biographical, non
clinical, non
specific, non
pretty, pos
irrelevant, neg
generic, both
onpronominal, false
likely, non
general, non
robust, pos
past, false
big, both
interested, pos
sensible, pos
primary, both
binary, non
early, non
undefined, neg
concrete, pos
unfamiliar, neg
shallow, neg
semantic, non
female, non
same, non
extracted., false
key, false
short, neg
dictionary, false
regular, non
heuristic, pos
significant, pos
justified, pos
details.General, false
helpful, pos
full, non
user, false
consistent, pos
Alternative, non
complex, pos
separate, non
applicable, pos
shouldn, false
great, pos
exciting., false
cognitive, non
sarcasm, false
human, non
first, non
easy, both
Weakness, false
marginal, neg
represent, false
structural, non
linguistic, non
e.g, false
weighted, non
Strengths, false
structured, non
syntaxbased, non
textual, non
proposed, non
prior, non
due, false
chainbased, non
knowledgeguided, pos
unnecessary, neg
baseline, false
comparable, pos
reasonable, pos
static, non
inner, non
nodes, false
whole, non
seem, false
constituent, non
external, non
substructure, false
independent, pos
joint, non
major, both
continuous, non
bilingual, non
certain, non
detailed, pos
thousand, non
ecessary, false
little, both
concerned, neg
available, non
ACL, false
willing, non
artificial, both
real, non
lowresource, false
nice, pos
summary, false
public, non
able, false
healthy, non
optimistic, pos
encouraging, pos
curious, non
nonunderstandable, neg
technological, non
sample, false
cited, non
“, false
pedestrian, false
Portuguese, non
wordlevel, false
sure, non
outofvocabulary, false
‘, false
lightweight, false
twiceTable, false
current, non
technical, non
incomprehensible, neg
complete, pos
familiar, non
highlevel, false
detailedThe, false
third, non
doesnt, false
ok, false
long, pos
quantitative, non
cherrypicked, neg
queen, false
conferencejournal, false
problematic, neg
below.General, false
